timestamp,src,dst,proto,sport,dport,length,ip_len
1780080392.388764,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.388769,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.388769,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.38877,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.388771,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.689104,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.689106,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.689107,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.689107,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.689107,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.689108,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.689108,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.689109,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.989284,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.989289,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.98929,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.989296,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.989347,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080392.989348,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.172655,172.21.0.20,172.21.0.10,UDP,54147,5004,175,161
1780080393.174849,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.229072,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.229076,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.229077,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.229077,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.229078,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.229078,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.22908,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.229275,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.22934,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.229404,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.229639,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.230094,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.230114,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.230159,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.280174,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.280176,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.280263,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.280293,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.281299,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.2813,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.281301,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.281301,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.281302,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.281363,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.281383,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.281389,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.281398,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.281404,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.29043,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.290432,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.290432,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.290432,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.290433,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.290433,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.290433,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.290434,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.290521,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.290547,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.290554,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.290561,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.290567,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.290574,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.290592,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.290602,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.580507,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.580511,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.580511,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.580516,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.580517,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.580518,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.580687,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.580769,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.580784,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.580814,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.580842,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.580871,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.590672,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.590674,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.590717,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.590718,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.590718,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.590719,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.590809,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.590855,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.590867,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.590877,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.590887,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.590898,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.631022,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.631034,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.631035,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.631184,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.631225,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.631238,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.890994,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.890998,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.890999,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.891,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.891,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.891001,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080393.891228,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.891286,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.891303,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.891317,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.891331,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.891348,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080393.931046,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.93105,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.931051,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.931051,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.931052,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.931052,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.931053,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.931369,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.931448,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.931469,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.931482,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.931518,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.931533,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.931547,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.98171,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.981718,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080393.982005,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080393.982078,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080394.192057,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080394.192061,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080394.192061,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080394.192062,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080394.192062,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080394.192063,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080394.192249,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080394.192313,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080394.19233,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080394.192344,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080394.192386,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080394.192428,172.21.0.10,172.21.0.20,UDP,5004,37785,55,41
1780080394.282526,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080394.282527,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080394.282528,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080394.282528,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080394.282528,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080394.282529,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080394.282677,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080394.282704,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080394.282715,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080394.282721,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080394.282728,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080394.282736,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080394.333103,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080394.333107,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080394.333108,172.21.0.20,172.21.0.10,UDP,54147,5004,1455,1441
1780080394.333274,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080394.333325,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080394.333342,172.21.0.10,172.21.0.20,UDP,5004,54147,55,41
1780080394.492323,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080394.492327,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780080394.492329,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
