timestamp,src,dst,proto,sport,dport,length,ip_len
1780085970.152941,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.152945,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.152946,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.152946,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.152947,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.152947,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.454079,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.454082,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.454082,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.454083,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.454083,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.754732,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.754736,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.754736,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.754737,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.754737,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.754738,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085970.754738,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.055238,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.055244,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.055248,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.055249,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.055253,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.055316,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.055316,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.240987,172.21.0.20,172.21.0.10,TCP,39284,5003,74,60
1780085971.241903,172.21.0.10,172.21.0.20,TCP,5003,39284,74,60
1780085971.34248,172.21.0.20,172.21.0.10,TCP,39284,5003,66,52
1780085971.343684,172.21.0.20,172.21.0.10,TCP,39284,5003,187,173
1780085971.343725,172.21.0.10,172.21.0.20,TCP,5003,39284,66,52
1780085971.355677,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.355681,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.355681,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.355682,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.355682,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.355682,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.355683,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.355683,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.36429,172.21.0.10,172.21.0.20,TCP,5003,39284,72,58
1780085971.466226,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.466353,172.21.0.10,172.21.0.20,TCP,5003,39284,66,52
1780085971.467034,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.467037,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.467038,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.467039,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.467119,172.21.0.10,172.21.0.20,TCP,5003,39284,66,52
1780085971.46713,172.21.0.10,172.21.0.20,TCP,5003,39284,66,52
1780085971.467135,172.21.0.10,172.21.0.20,TCP,5003,39284,66,52
1780085971.46714,172.21.0.10,172.21.0.20,TCP,5003,39284,66,52
1780085971.566421,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.566425,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.566498,172.21.0.10,172.21.0.20,TCP,5003,39284,66,52
1780085971.567197,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.567203,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.567203,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.567204,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.567205,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.567205,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.568642,172.21.0.10,172.21.0.20,TCP,5003,39284,78,64
1780085971.656602,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.656607,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.656608,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.656611,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.656611,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
1780085971.666576,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.666583,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.666662,172.21.0.10,172.21.0.20,TCP,5003,39284,86,72
1780085971.66669,172.21.0.10,172.21.0.20,TCP,5003,39284,86,72
1780085971.668749,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.668752,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.668812,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.668812,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.668813,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.668862,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.668914,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.668968,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.668969,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.668969,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.66897,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.66897,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.668971,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.668971,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.669935,172.21.0.10,172.21.0.20,TCP,5003,39284,86,72
1780085971.766745,172.21.0.20,172.21.0.10,TCP,39284,5003,1514,1500
1780085971.766749,172.21.0.20,172.21.0.10,TCP,39284,5003,1514,1500
1780085971.766749,172.21.0.20,172.21.0.10,TCP,39284,5003,1514,1500
1780085971.767914,172.21.0.10,172.21.0.20,TCP,5003,39284,78,64
1780085971.770019,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.770024,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.770026,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.770027,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.770028,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.770029,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.77003,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.770032,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.770033,172.21.0.20,172.21.0.10,TCP,39284,5003,1514,1500
1780085971.771323,172.21.0.10,172.21.0.20,TCP,5003,39284,86,72
1780085971.869181,172.21.0.20,172.21.0.10,TCP,39284,5003,1514,1500
1780085971.869186,172.21.0.20,172.21.0.10,TCP,39284,5003,1514,1500
1780085971.869187,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.86929,172.21.0.10,172.21.0.20,TCP,5003,39284,78,64
1780085971.869311,172.21.0.10,172.21.0.20,TCP,5003,39284,78,64
1780085971.869314,172.21.0.10,172.21.0.20,TCP,5003,39284,78,64
1780085971.871214,172.21.0.10,172.21.0.20,TCP,5003,39284,78,64
1780085971.871411,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.871413,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.871414,172.21.0.20,172.21.0.10,TCP,39284,5003,2962,2948
1780085971.871448,172.21.0.10,172.21.0.20,TCP,5003,39284,78,64
1780085971.871458,172.21.0.10,172.21.0.20,TCP,5003,39284,66,52
1780085971.872355,172.21.0.10,172.21.0.20,TCP,5003,39284,66,52
1780085971.957122,172.21.0.20,172.21.0.10,UDP,44122,5004,1455,1441
